lemma,present_phones,past_phones
estimate,EH S T AH M AH T,EH S T AH M EY T AH D
make,M EY K,M EY D
bring,B R IH NG,B R AO T
it,IH T,IH T
upset,AH P S EH T,AH P S EH T
measure,M EH ZH ER,M EH ZH ER D
parade,P ER EY D,P ER EY D IH D
organize,AO R G AH N AY Z,AO R G AH N AY Z D
state,S T EY T,S T EY T IH D
cost,K AA S T,K AA S T
moderate,M AA D ER AH T,M AA D ER EY T IH D
have,HH AE V,HH AE D
associate,AH S OW S IY AH T,AH S OW S IY EY T IH D
leave,L IY V,L EH F T
it,IH T,IH T
realize,R IY AH L AY Z,R IY AH L AY Z D
de,D IY,D IH D
require,R IY K W AY ER,R IY K W AY ER D
cull,K AH L,K AH L D
doe,D OW,D IH D
have,HH AE V,HH AE D
flow,F L OW,F L OW D
reduce,R AH D UW S,R AH D UW S T
teach,T IY CH,T AO T
dry,D R AY,D R AY D
put,P UH T,P UH T
teach,T IY CH,T AO T
enlarge,EH N L AA R JH,EH N L AA R JH D
say,S EY,S EH D
put,P UH T,P UH T
suit,S UW T,S UW T IH D
put,P UH T,P UH T
relate,R IH L EY T,R IH L EY T IH D
marry,M EH R IY,M EH R IY D
leave,L IY V,L EH F T
require,R IY K W AY ER,R IY K W AY ER D
it,IH T,IH T
save,S EY V,S EY V D
subdivide,S AH B D AH V AY D,S AH B D IH V AY D IH D
have,HH AE V,HH AE D
cum,K AH M,K EY M
it,IH T,IH T
it,IH T,IH T
expose,IH K S P OW Z,IH K S P OW Z D
forge,F AO R JH,F AO R JH D
levy,L EH V IY,L EH V IY D
it,IH T,IH T
reduce,R AH D UW S,R AH D UW S T
close,K L OW S,K L OW Z D
it,IH T,IH T
marke,M AA R K,M AA R K T
cut,K AH T,K AH T
go,G OW,W EH N T
attack,AH T AE K,AH T AE K T
it,IH T,IH T
it,IH T,IH T
segregate,S EH G R AH G EY T,S EH G R AH G EY T IH D
enter,EH N T ER,EH N T ER D
it,IH T,IH T
schedule,S K EH JH UH L,S K EH JH UH L D
hand,HH AE N D,HH AE N D AH D
come,K AH M,K EY M
relate,R IH L EY T,R IH L EY T IH D
doe,D OW,D IH D
understand,AH N D ER S T AE N D,AH N D ER S T UH D
regenerate,R IY JH EH N ER EY T,R IY JH EH N ER EY T IH D
owe,OW,OW D
cause,K AA Z,K AA Z D
unite,Y UW N AY T,Y UW N AY T IH D
measure,M EH ZH ER,M EH ZH ER D
use,Y UW S,Y UW Z D
it,IH T,IH T
have,HH AE V,HH AE D
make,M EY K,M EY D
it,IH T,IH T
cut,K AH T,K AH T
send,S EH N D,S EH N T
develop,D IH V EH L AH P,D IH V EH L AH P T
it,IH T,IH T
enter,EH N T ER,EH N T ER D
beat,B IY T,B IY T
it,IH T,IH T
have,HH AE V,HH AE D
dissatisfy,D IH S AE T AH S F AY,D IH S AE T AH S F AY D
it,IH T,IH T
derive,D ER AY V,D ER AY V D
have,HH AE V,HH AE D
de,D IY,D IH D
it,IH T,IH T
walk,W AO K,W AO K T
make,M EY K,M EY D
outrage,AW T R EY JH,AW T R EY JH D
make,M EY K,M EY D
say,S EY,S EH D
purchase,P ER CH AH S,P ER CH AH S T
put,P UH T,P UH T
relate,R IH L EY T,R IH L EY T IH D
open,OW P AH N,OW P AH N D
show,SH OW,SH OW D
have,HH AE V,HH AE D
it,IH T,IH T
it,IH T,IH T
develop,D IH V EH L AH P,D IH V EH L AH P T
establish,IH S T AE B L IH SH,IH S T AE B L IH SH T
use,Y UW S,Y UW Z D
apply,AH P L AY,AH P L AY D
it,IH T,IH T
it,IH T,IH T
return,R IH T ER N,R IH T ER N D
state,S T EY T,S T EY T IH D
it,IH T,IH T
doe,D OW,D IH D
have,HH AE V,HH AE D
imply,IH M P L AY,IH M P L AY D
have,HH AE V,HH AE D
resort,R IH Z AO R T,R IH Z AO R T IH D
it,IH T,IH T
produce,P R AH D UW S,P R AH D UW S T
have,HH AE V,HH AE D
have,HH AE V,HH AE D
offset,AO F S EH T,AO F S EH T
unite,Y UW N AY T,Y UW N AY T IH D
impose,IH M P OW Z,IH M P OW Z D
live,L AY V,L IH V D
it,IH T,IH T
doe,D OW,D IH D
attack,AH T AE K,AH T AE K T
have,HH AE V,HH AE D
it,IH T,IH T
produce,P R AH D UW S,P R AH D UW S T
it,IH T,IH T
it,IH T,IH T
use,Y UW S,Y UW Z D
say,S EY,S EH D
involve,IH N V AA L V,IH N V AA L V D
doe,D OW,D IH D
include,IH N K L UW D,IH N K L UW D AH D
doe,D OW,D IH D
spread,S P R EH D,S P R EH D
hear,HH IY R,HH ER D
modify,M AA D AH F AY,M AA D AH F AY D
it,IH T,IH T
hesitate,HH EH Z AH T EY T,HH EH Z IH T EY T IH D
handle,HH AE N D AH L,HH AE N D AH L D
occur,AH K ER,AH K ER D
limit,L IH M AH T,L IH M AH T AH D
oblige,AH B L AY JH,AH B L AY JH D
typify,T IH P AH F AY,T IH P AH F AY D
relate,R IH L EY T,R IH L EY T IH D
ask,AE S K,AE S K T
de,D IY,D IH D
reproduce,R IY P R AH D UW S,R IY P R AH D UW S T
it,IH T,IH T
have,HH AE V,HH AE D
it,IH T,IH T
say,S EY,S EH D
have,HH AE V,HH AE D
close,K L OW S,K L OW Z D
leave,L IY V,L EH F T
prop,P R AA P,P R AA P T
it,IH T,IH T
stop,S T AA P,S T AA P T
it,IH T,IH T
observe,AH B Z ER V,AH B Z ER V D
de,D IY,D IH D
doe,D OW,D IH D
it,IH T,IH T
address,AE D R EH S,AH D R EH S T
modify,M AA D AH F AY,M AA D AH F AY D
use,Y UW S,Y UW Z D
it,IH T,IH T
it,IH T,IH T
it,IH T,IH T
shoot,SH UW T,SH AA T
have,HH AE V,HH AE D
relate,R IH L EY T,R IH L EY T IH D
bite,B AY T,B IH T
bring,B R IH NG,B R AO T
set,S EH T,S EH T
drop,D R AA P,D R AA P T
describe,D IH S K R AY B,D IH S K R AY B D
it,IH T,IH T
it,IH T,IH T
carry,K AE R IY,K AE R IY D
become,B IH K AH M,B IH K EY M
wish,W IH SH,W IH SH T
orient,AO R IY EH N T,AO R IY EH N T AH D
cook,K UH K,K UH K T
associate,AH S OW S IY AH T,AH S OW S IY EY T IH D
get,G EH T,G AA T
it,IH T,IH T
have,HH AE V,HH AE D
produce,P R AH D UW S,P R AH D UW S T
it,IH T,IH T
it,IH T,IH T
doe,D OW,D IH D
emerge,IH M ER JH,IH M ER JH D
use,Y UW S,Y UW Z D
use,Y UW S,Y UW Z D
call,K AO L,K AO L D
begin,B IH G IH N,B IH G AE N
join,JH OY N,JH OY N D
it,IH T,IH T
have,HH AE V,HH AE D
wet,W EH T,W EH T
conclude,K AH N K L UW D,K AH N K L UW D AH D
carry,K AE R IY,K AE R IY D
come,K AH M,K EY M
have,HH AE V,HH AE D
base,B EY S,B EY S T
emit,IH M IH T,IH M IH T AH D
describe,D IH S K R AY B,D IH S K R AY B D
acquire,AH K W AY ER,AH K W AY ER D
hang,HH AE NG,HH AH NG
designate,D EH Z AH G N EY T,D EH Z IH G N EY T IH D
have,HH AE V,HH AE D
consummate,K AA N S AH M AH T,K AA N S AH M EY T AH D
ally,AE L AY,AH L AY D
become,B IH K AH M,B IH K EY M
base,B EY S,B EY S T
conclude,K AH N K L UW D,K AH N K L UW D AH D
let,L EH T,L EH T
focus,F OW K AH S,F OW K AH S T
bind,B AY N D,B AW N D
limit,L IH M AH T,L IH M AH T AH D
carry,K AE R IY,K AE R IY D
provide,P R AH V AY D,P R AH V AY D IH D
it,IH T,IH T
revolve,R IY V AA L V,R IY V AA L V D
precede,P R IH S IY D,P R IH S IY D IH D
doe,D OW,D IH D
call,K AO L,K AO L D
say,S EY,S EH D
it,IH T,IH T
it,IH T,IH T
it,IH T,IH T
develop,D IH V EH L AH P,D IH V EH L AH P T
outline,AW T L AY N,AW T L AY N D
thank,TH AE NG K,TH AE NG K T
have,HH AE V,HH AE D
doe,D OW,D IH D
refer,R AH F ER,R AH F ER D
shake,SH EY K,SH UH K
come,K AH M,K EY M
it,IH T,IH T
begin,B IH G IH N,B IH G AE N
induce,IH N D UW S,IH N D UW S T
commit,K AH M IH T,K AH M IH T IH D
doe,D OW,D IH D
it,IH T,IH T
have,HH AE V,HH AE D
locate,L OW K EY T,L OW K EY T AH D
catch,K AE CH,K AA T
doe,D OW,D IH D
describe,D IH S K R AY B,D IH S K R AY B D
say,S EY,S EH D
relate,R IH L EY T,R IH L EY T IH D
get,G EH T,G AA T
conceive,K AH N S IY V,K AH N S IY V D
put,P UH T,P UH T
wrong,R AO NG,R AO NG D
admit,AH D M IH T,AH D M IH T IH D
locate,L OW K EY T,L OW K EY T AH D
invite,IH N V AY T,IH N V AY T AH D
break,B R EY K,B R OW K
base,B EY S,B EY S T
dye,D AY,D AY D
consist,K AH N S IH S T,K AH N S IH S T AH D
have,HH AE V,HH AE D
use,Y UW S,Y UW Z D
say,S EY,S EH D
have,HH AE V,HH AE D
bring,B R IH NG,B R AO T
it,IH T,IH T
rise,R AY Z,R OW Z
have,HH AE V,HH AE D
ashame,AH SH EY M,AH SH EY M D
include,IH N K L UW D,IH N K L UW D AH D
let,L EH T,L EH T
it,IH T,IH T
call,K AO L,K AO L D
have,HH AE V,HH AE D
it,IH T,IH T
it,IH T,IH T
it,IH T,IH T
have,HH AE V,HH AE D
examine,IH G Z AE M IH N,IH G Z AE M AH N D
worth,W ER TH,W ER TH
de,D IY,D IH D
leave,L IY V,L EH F T
quote,K W OW T,K W OW T IH D
engage,EH N G EY JH,EH N G EY JH D
cum,K AH M,K EY M
speak,S P IY K,S P OW K
have,HH AE V,HH AE D
survive,S ER V AY V,S ER V AY V D
ask,AE S K,AE S K T
deposit,D AH P AA Z IH T,D AH P AA Z IH T IH D
uplift,AH P L IH F T,AH P L IH F T IH D
guide,G AY D,G AY D AH D
measure,M EH ZH ER,M EH ZH ER D
express,IH K S P R EH S,IH K S P R EH S T
examine,IH G Z AE M IH N,IH G Z AE M AH N D
it,IH T,IH T
move,M UW V,M UW V D
it,IH T,IH T
develop,D IH V EH L AH P,D IH V EH L AH P T
it,IH T,IH T
soak,S OW K,S OW K T
introduce,IH N T R AH D UW S,IH N T R AH D UW S T
give,G IH V,G EY V
it,IH T,IH T
have,HH AE V,HH AE D
it,IH T,IH T
get,G EH T,G AA T
invoke,IH N V OW K,IH N V OW K T
clamber,K L AE M B ER,K L AE M B ER D
it,IH T,IH T
think,TH IH NG K,TH AO T
it,IH T,IH T
rise,R AY Z,R OW Z
have,HH AE V,HH AE D
it,IH T,IH T
it,IH T,IH T
let,L EH T,L EH T
relate,R IH L EY T,R IH L EY T IH D
it,IH T,IH T
it,IH T,IH T
have,HH AE V,HH AE D
bring,B R IH NG,B R AO T
let,L EH T,L EH T
load,L OW D,L OW D IH D
it,IH T,IH T
call,K AO L,K AO L D
have,HH AE V,HH AE D
nod,N AA D,N AA D AH D
realize,R IY AH L AY Z,R IY AH L AY Z D
rise,R AY Z,R OW Z
define,D IH F AY N,D IH F AY N D
let,L EH T,L EH T
unite,Y UW N AY T,Y UW N AY T IH D
it,IH T,IH T
have,HH AE V,HH AE D
predict,P R IH D IH K T,P R IH D IH K T IH D
bind,B AY N D,B AW N D
produce,P R AH D UW S,P R AH D UW S T
cum,K AH M,K EY M
make,M EY K,M EY D
declare,D IH K L EH R,D IH K L EH R D
it,IH T,IH T
mind,M AY N D,M AY N D AH D
it,IH T,IH T
get,G EH T,G AA T
have,HH AE V,HH AE D
think,TH IH NG K,TH AO T
unite,Y UW N AY T,Y UW N AY T IH D
de,D IY,D IH D
cum,K AH M,K EY M
begin,B IH G IH N,B IH G AE N
perceive,P ER S IY V,P ER S IY V D
overlook,OW V ER L UH K,OW V ER L UH K T
structure,S T R AH K CH ER,S T R AH K CH ER D
change,CH EY N JH,CH EY N JH D
doe,D OW,D IH D
stop,S T AA P,S T AA P T
it,IH T,IH T
say,S EY,S EH D
offset,AO F S EH T,AO F S EH T
lodge,L AA JH,L AA JH D
it,IH T,IH T
admit,AH D M IH T,AH D M IH T IH D
come,K AH M,K EY M
understand,AH N D ER S T AE N D,AH N D ER S T UH D
employ,EH M P L OY,EH M P L OY D
separate,S EH P ER EY T,S EH P ER EY T IH D
set,S EH T,S EH T
it,IH T,IH T
it,IH T,IH T
release,R IY L IY S,R IY L IY S T
have,HH AE V,HH AE D
include,IH N K L UW D,IH N K L UW D AH D
feel,F IY L,F EH L T
bring,B R IH NG,B R AO T
prepare,P R IY P EH R,P R IY P EH R D
say,S EY,S EH D
set,S EH T,S EH T
it,IH T,IH T
have,HH AE V,HH AE D
associate,AH S OW S IY AH T,AH S OW S IY EY T IH D
evaluate,IH V AE L Y UW EY T,IH V AE L Y UW EY T AH D
have,HH AE V,HH AE D
give,G IH V,G EY V
imbue,IH M B Y UW,IH M B Y UW D
receive,R AH S IY V,R AH S IY V D
make,M EY K,M EY D
limit,L IH M AH T,L IH M AH T AH D
summarize,S AH M ER AY Z,S AH M ER AY Z D
have,HH AE V,HH AE D
cause,K AA Z,K AA Z D
it,IH T,IH T
trace,T R EY S,T R EY S T
leave,L IY V,L EH F T
emerge,IH M ER JH,IH M ER JH D
say,S EY,S EH D
beg,B EH G,B EH G D
de,D IY,D IH D
live,L AY V,L IH V D
scratch,S K R AE CH,S K R AE CH T
have,HH AE V,HH AE D
cost,K AA S T,K AA S T
rush,R AH SH,R AH SH T
perceive,P ER S IY V,P ER S IY V D
it,IH T,IH T
doe,D OW,D IH D
involve,IH N V AA L V,IH N V AA L V D
feel,F IY L,F EH L T
make,M EY K,M EY D
come,K AH M,K EY M
it,IH T,IH T
have,HH AE V,HH AE D
furrow,F ER OW,F ER OW D
it,IH T,IH T
pass,P AE S,P AE S T
limit,L IH M AH T,L IH M AH T AH D
cum,K AH M,K EY M
pass,P AE S,P AE S T
write,R AY T,R OW T
it,IH T,IH T
think,TH IH NG K,TH AO T
team,T IY M,T IY M D
move,M UW V,M UW V D
it,IH T,IH T
set,S EH T,S EH T
give,G IH V,G EY V
release,R IY L IY S,R IY L IY S T
have,HH AE V,HH AE D
sit,S IH T,S AE T
it,IH T,IH T
have,HH AE V,HH AE D
make,M EY K,M EY D
strike,S T R AY K,S T R AH K
come,K AH M,K EY M
doe,D OW,D IH D
sit,S IH T,S AE T
have,HH AE V,HH AE D
purchase,P ER CH AH S,P ER CH AH S T
doe,D OW,D IH D
bite,B AY T,B IH T
observe,AH B Z ER V,AH B Z ER V D
perceive,P ER S IY V,P ER S IY V D
it,IH T,IH T
have,HH AE V,HH AE D
create,K R IY EY T,K R IY EY T AH D
identify,AY D EH N T AH F AY,AY D EH N T AH F AY D
become,B IH K AH M,B IH K EY M
associate,AH S OW S IY AH T,AH S OW S IY EY T IH D
it,IH T,IH T
have,HH AE V,HH AE D
cede,S IY D,S IY D AH D
use,Y UW S,Y UW Z D
think,TH IH NG K,TH AO T
cleave,K L IY V,K L EH F T
develop,D IH V EH L AH P,D IH V EH L AH P T
share,SH EH R,SH EH R D
variegate,V EH R IH G EY T,V EH R IH G EY T IH D
it,IH T,IH T
read,R EH D,R EH D
have,HH AE V,HH AE D
de,D IY,D IH D
describe,D IH S K R AY B,D IH S K R AY B D
associate,AH S OW S IY AH T,AH S OW S IY EY T IH D
incline,IH N K L AY N,IH N K L AY N D
it,IH T,IH T
make,M EY K,M EY D
meet,M IY T,M EH T
remove,R IY M UW V,R IY M UW V D
edit,EH D AH T,EH D AH T AH D
change,CH EY N JH,CH EY N JH D
become,B IH K AH M,B IH K EY M
overlook,OW V ER L UH K,OW V ER L UH K T
kiss,K IH S,K IH S T
influence,IH N F L UW AH N S,IH N F L UW AH N S T
it,IH T,IH T
think,TH IH NG K,TH AO T
have,HH AE V,HH AE D
smile,S M AY L,S M AY L D
frustrate,F R AH S T R EY T,F R AH S T R EY T AH D
say,S EY,S EH D
create,K R IY EY T,K R IY EY T AH D
it,IH T,IH T
relate,R IH L EY T,R IH L EY T IH D
induce,IH N D UW S,IH N D UW S T
meet,M IY T,M EH T
doe,D OW,D IH D
ask,AE S K,AE S K T
feel,F IY L,F EH L T
wither,W IH DH ER,W IH DH ER D
provoke,P R AH V OW K,P R AH V OW K T
it,IH T,IH T
it,IH T,IH T
say,S EY,S EH D
set,S EH T,S EH T
schedule,S K EH JH UH L,S K EH JH UH L D
prepare,P R IY P EH R,P R IY P EH R D
have,HH AE V,HH AE D
it,IH T,IH T
it,IH T,IH T
divide,D IH V AY D,D IH V AY D IH D
it,IH T,IH T
describe,D IH S K R AY B,D IH S K R AY B D
it,IH T,IH T
have,HH AE V,HH AE D
cum,K AH M,K EY M
come,K AH M,K EY M
divide,D IH V AY D,D IH V AY D IH D
doe,D OW,D IH D
bring,B R IH NG,B R AO T
use,Y UW S,Y UW Z D
it,IH T,IH T
it,IH T,IH T
think,TH IH NG K,TH AO T
it,IH T,IH T
have,HH AE V,HH AE D
conceive,K AH N S IY V,K AH N S IY V D
have,HH AE V,HH AE D
agree,AH G R IY,AH G R IY D
say,S EY,S EH D
refer,R AH F ER,R AH F ER D
cum,K AH M,K EY M
it,IH T,IH T
it,IH T,IH T
damage,D AE M AH JH,D AE M AH JH D
have,HH AE V,HH AE D
perceive,P ER S IY V,P ER S IY V D
it,IH T,IH T
have,HH AE V,HH AE D
sort,S AO R T,S AO R T IH D
hand,HH AE N D,HH AE N D AH D
have,HH AE V,HH AE D
it,IH T,IH T
purchase,P ER CH AH S,P ER CH AH S T
leave,L IY V,L EH F T
change,CH EY N JH,CH EY N JH D
it,IH T,IH T
include,IH N K L UW D,IH N K L UW D AH D
it,IH T,IH T
begin,B IH G IH N,B IH G AE N
it,IH T,IH T
influence,IH N F L UW AH N S,IH N F L UW AH N S T
submerge,S AH B M ER JH,S AH B M ER JH D
grin,G R IH N,G R IH N D
it,IH T,IH T
prepare,P R IY P EH R,P R IY P EH R D
make,M EY K,M EY D
cry,K R AY,K R AY D
write,R AY T,R OW T
put,P UH T,P UH T
pose,P OW Z,P OW Z D
return,R IH T ER N,R IH T ER N D
insure,IH N SH UH R,IH N SH UH R D
litigate,L IH T IH G EY T,L IH T IH G EY T IH D
acquire,AH K W AY ER,AH K W AY ER D
have,HH AE V,HH AE D
place,P L EY S,P L EY S T
nominate,N AA M AH N AH T,N AA M AH N EY T AH D
have,HH AE V,HH AE D
desire,D IH Z AY ER,D IH Z AY ER D
verify,V EH R AH F AY,V EH R AH F AY D
worry,W ER IY,W ER IY D
render,R EH N D ER,R EH N D ER D
observe,AH B Z ER V,AH B Z ER V D
correlate,K AO R AH L EY T,K AO R AH L EY T AH D
cum,K AH M,K EY M
remain,R IH M EY N,R IH M EY N D
it,IH T,IH T
have,HH AE V,HH AE D
grow,G R OW,G R UW
doe,D OW,D IH D
it,IH T,IH T
beg,B EH G,B EH G D
remain,R IH M EY N,R IH M EY N D
accomplish,AH K AA M P L IH SH,AH K AA M P L IH SH T
it,IH T,IH T
trouble,T R AH B AH L,T R AH B AH L D
stereotype,S T EH R IY AH T AY P,S T EH R IY AH T AY P T
cost,K AA S T,K AA S T
output,AW T P UH T,AW T P UH T
revise,R IH V AY Z,R IH V AY Z D
cum,K AH M,K EY M
de,D IY,D IH D
doe,D OW,D IH D
call,K AO L,K AO L D
provide,P R AH V AY D,P R AH V AY D IH D
come,K AH M,K EY M
use,Y UW S,Y UW Z D
possess,P AH Z EH S,P AH Z EH S T
go,G OW,W EH N T
fee,F IY,F IY D
it,IH T,IH T
advance,AH D V AE N S,AH D V AE N S T
go,G OW,W EH N T
hang,HH AE NG,HH AH NG
start,S T AA R T,S T AA R T IH D
provide,P R AH V AY D,P R AH V AY D IH D
imply,IH M P L AY,IH M P L AY D
comply,K AH M P L AY,K AH M P L AY D
spread,S P R EH D,S P R EH D
it,IH T,IH T
spot,S P AA T,S P AA T IH D
fable,F EY B AH L,F EY B AH L D
make,M EY K,M EY D
make,M EY K,M EY D
come,K AH M,K EY M
quote,K W OW T,K W OW T IH D
stow,S T OW,S T OW D
have,HH AE V,HH AE D
realize,R IY AH L AY Z,R IY AH L AY Z D
bite,B AY T,B IH T
it,IH T,IH T
require,R IY K W AY ER,R IY K W AY ER D
sting,S T IH NG,S T AH NG
make,M EY K,M EY D
it,IH T,IH T
associate,AH S OW S IY AH T,AH S OW S IY EY T IH D
say,S EY,S EH D
doe,D OW,D IH D
produce,P R AH D UW S,P R AH D UW S T
it,IH T,IH T
it,IH T,IH T
hide,HH AY D,HH IH D
have,HH AE V,HH AE D
de,D IY,D IH D
organize,AO R G AH N AY Z,AO R G AH N AY Z D
outdate,AW T D EY T,AW T D EY T IH D
remain,R IH M EY N,R IH M EY N D
associate,AH S OW S IY AH T,AH S OW S IY EY T IH D
it,IH T,IH T
pay,P EY,P EY D
it,IH T,IH T
have,HH AE V,HH AE D
visit,V IH Z IH T,V IH Z IH T IH D
say,S EY,S EH D
treat,T R IY T,T R IY T IH D
begin,B IH G IH N,B IH G AE N
stagger,S T AE G ER,S T AE G ER D
come,K AH M,K EY M
say,S EY,S EH D
it,IH T,IH T
it,IH T,IH T
say,S EY,S EH D
let,L EH T,L EH T
doe,D OW,D IH D
make,M EY K,M EY D
become,B IH K AH M,B IH K EY M
think,TH IH NG K,TH AO T
it,IH T,IH T
emerge,IH M ER JH,IH M ER JH D
call,K AO L,K AO L D
produce,P R AH D UW S,P R AH D UW S T
stitch,S T IH CH,S T IH CH T
measure,M EH ZH ER,M EH ZH ER D
set,S EH T,S EH T
make,M EY K,M EY D
it,IH T,IH T
it,IH T,IH T
it,IH T,IH T
confide,K AH N F AY D,K AH N F AY D IH D
compile,K AH M P AY L,K AH M P AY L D
it,IH T,IH T
go,G OW,W EH N T
place,P L EY S,P L EY S T
doe,D OW,D IH D
open,OW P AH N,OW P AH N D
desert,D EH Z ER T,D IH Z ER T IH D
hamper,HH AE M P ER,HH AE M P ER D
it,IH T,IH T
have,HH AE V,HH AE D
it,IH T,IH T
build,B IH L D,B IH L T
have,HH AE V,HH AE D
it,IH T,IH T
replace,R IY P L EY S,R IY P L EY S T
fulfil,F UH L F IH L,F UH L F IH L D
de,D IY,D IH D
it,IH T,IH T
it,IH T,IH T
earn,ER N,ER N D
point,P OY N T,P OY N T IH D
marry,M EH R IY,M EH R IY D
it,IH T,IH T
make,M EY K,M EY D
it,IH T,IH T
answer,AE N S ER,AE N S ER D
pronounce,P R AH N AW N S,P R AH N AW N S T
it,IH T,IH T
repulse,R IY P AH L S,R IY P AH L S T
snap,S N AE P,S N AE P T
get,G EH T,G AA T
it,IH T,IH T
it,IH T,IH T
come,K AH M,K EY M
go,G OW,W EH N T
come,K AH M,K EY M
say,S EY,S EH D
de,D IY,D IH D
address,AE D R EH S,AH D R EH S T
it,IH T,IH T
coincide,K OW IH N S AY D,K OW AH N S AY D AH D
it,IH T,IH T
mediate,M IY D IY EY T,M IY D IY EY T IH D
evolve,IH V AA L V,IH V AA L V D
wear,W EH R,W AO R
make,M EY K,M EY D
prejudice,P R EH JH AH D IH S,P R EH JH AH D AH S T
it,IH T,IH T
have,HH AE V,HH AE D
beat,B IY T,B IY T
set,S EH T,S EH T
squash,S K W AA SH,S K W AA SH T
go,G OW,W EH N T
it,IH T,IH T
have,HH AE V,HH AE D
produce,P R AH D UW S,P R AH D UW S T
have,HH AE V,HH AE D
agree,AH G R IY,AH G R IY D
oversize,OW V ER S AY Z,OW V ER S AY Z D
have,HH AE V,HH AE D
call,K AO L,K AO L D
think,TH IH NG K,TH AO T
let,L EH T,L EH T
have,HH AE V,HH AE D
dress,D R EH S,D R EH S T
have,HH AE V,HH AE D
unite,Y UW N AY T,Y UW N AY T IH D
let,L EH T,L EH T
it,IH T,IH T
continue,K AH N T IH N Y UW,K AH N T IH N Y UW D
stop,S T AA P,S T AA P T
define,D IH F AY N,D IH F AY N D
unite,Y UW N AY T,Y UW N AY T IH D
ashame,AH SH EY M,AH SH EY M D
de,D IY,D IH D
it,IH T,IH T
become,B IH K AH M,B IH K EY M
say,S EY,S EH D
approve,AH P R UW V,AH P R UW V D
it,IH T,IH T
de,D IY,D IH D
cease,S IY S,S IY S T
it,IH T,IH T
it,IH T,IH T
it,IH T,IH T
it,IH T,IH T
mean,M IY N,M EH N T
become,B IH K AH M,B IH K EY M
cum,K AH M,K EY M
pay,P EY,P EY D
dazzle,D AE Z AH L,D AE Z AH L D
urge,ER JH,ER JH D
output,AW T P UH T,AW T P UH T
unite,Y UW N AY T,Y UW N AY T IH D
it,IH T,IH T
have,HH AE V,HH AE D
have,HH AE V,HH AE D
have,HH AE V,HH AE D
conceive,K AH N S IY V,K AH N S IY V D
think,TH IH NG K,TH AO T
de,D IY,D IH D
justify,JH AH S T AH F AY,JH AH S T AH F AY D
evince,IH V IH N S,IH V IH N S T
relate,R IH L EY T,R IH L EY T IH D
have,HH AE V,HH AE D
de,D IY,D IH D
have,HH AE V,HH AE D
move,M UW V,M UW V D
it,IH T,IH T
ask,AE S K,AE S K T
start,S T AA R T,S T AA R T IH D
come,K AH M,K EY M
cut,K AH T,K AH T
it,IH T,IH T
it,IH T,IH T
set,S EH T,S EH T
remain,R IH M EY N,R IH M EY N D
it,IH T,IH T
say,S EY,S EH D
surprise,S ER P R AY Z,S ER P R AY Z D
let,L EH T,L EH T
include,IH N K L UW D,IH N K L UW D AH D
doe,D OW,D IH D
it,IH T,IH T
criticize,K R IH T IH S AY Z,K R IH T AH S AY Z D
tolerate,T AA L ER EY T,T AA L ER EY T IH D
doe,D OW,D IH D
call,K AO L,K AO L D
encourage,EH N K ER IH JH,EH N K ER IH JH D
think,TH IH NG K,TH AO T
de,D IY,D IH D
produce,P R AH D UW S,P R AH D UW S T
approve,AH P R UW V,AH P R UW V D
use,Y UW S,Y UW Z D
make,M EY K,M EY D
make,M EY K,M EY D
ask,AE S K,AE S K T
give,G IH V,G EY V
become,B IH K AH M,B IH K EY M
have,HH AE V,HH AE D
use,Y UW S,Y UW Z D
it,IH T,IH T
spread,S P R EH D,S P R EH D
it,IH T,IH T
relate,R IH L EY T,R IH L EY T IH D
bring,B R IH NG,B R AO T
reduce,R AH D UW S,R AH D UW S T
come,K AH M,K EY M
it,IH T,IH T
say,S EY,S EH D
confide,K AH N F AY D,K AH N F AY D IH D
doe,D OW,D IH D
chop,CH AA P,CH AA P T
doe,D OW,D IH D
it,IH T,IH T
let,L EH T,L EH T
replace,R IY P L EY S,R IY P L EY S T
have,HH AE V,HH AE D
receive,R AH S IY V,R AH S IY V D
it,IH T,IH T
it,IH T,IH T
set,S EH T,S EH T
it,IH T,IH T
associate,AH S OW S IY AH T,AH S OW S IY EY T IH D
associate,AH S OW S IY AH T,AH S OW S IY EY T IH D
let,L EH T,L EH T
it,IH T,IH T
regenerate,R IY JH EH N ER EY T,R IY JH EH N ER EY T IH D
desire,D IH Z AY ER,D IH Z AY ER D
say,S EY,S EH D
set,S EH T,S EH T
charge,CH AA R JH,CH AA R JH D
make,M EY K,M EY D
make,M EY K,M EY D
fulfil,F UH L F IH L,F UH L F IH L D
doe,D OW,D IH D
enclose,IH N K L OW Z,EH N K L OW Z D
it,IH T,IH T
limit,L IH M AH T,L IH M AH T AH D
mean,M IY N,M EH N T
accompany,AH K AH M P AH N IY,AH K AH M P AH N IY D
propose,P R AH P OW Z,P R AH P OW Z D
de,D IY,D IH D
tumble,T AH M B AH L,T AH M B AH L D
it,IH T,IH T
bite,B AY T,B IH T
say,S EY,S EH D
it,IH T,IH T
sell,S EH L,S OW L D
de,D IY,D IH D
it,IH T,IH T
lay,L EY,L EY D
pass,P AE S,P AE S T
shape,SH EY P,SH EY P T
send,S EH N D,S EH N T
de,D IY,D IH D
certify,S ER T AH F AY,S ER T AH F AY D
it,IH T,IH T
tilt,T IH L T,T IH L T IH D
cut,K AH T,K AH T
